mack,nam,size,llp,nim,roe,car,lta,eta,gdp,inf,la
KLB,2019,"7,7084","0,0089","0,0252","0,0615","0,1342","0,6009","0,0742","0,072","0,028","0,2656"
KLB,2020,"7,758","0,0085","0,0203","0,0176","0,1205","0,2788","0,0684","0,029","0,0322","0,2823"
KLB,2021,"7,9234","0,0096","0,031","0,0335","0,1002","0,4536","0,0558","0,026","0,0183","0,4257"
LPB,2011,"7,7492","0,0093","0,051","0,1276",0,"0,3401","0,1175","0,064","0,1868","0,3818"
LPB,2012,"7,8223","0,0179","0,0477","0,1397",0,"0,3638","0,1113","0,055","0,0909","0,2831"
LPB,2013,"7,9009","0,0205","0,0395","0,1184",0,"0,4049","0,0914","0,056","0,0659","0,2334"
LPB,2014,"8,0035","0,0116","0,0305","0,0772",0,"0,5156","0,0733","0,064","0,0408","0,1154"
LPB,2015,"8,0318","0,0125","0,0321","0,0622","0,1229","0,5548","0,0706","0,07","0,0063","0,0727"
LPB,2016,"8,1519","0,0123","0,0374","0,0439","0,1323","0,6081","0,0587","0,067","0,0267","0,1562"
LPB,2017,"8,2133","0,0124","0,0394","0,12","0,1028","0,6723","0,0574","0,069","0,0352","0,148"
LPB,2018,"8,2433","0,0126","0,0331","0,1397","0,1085","0,6869","0,0583","0,072","0,0354","0,0748"
LPB,2019,"8,3055","0,0124","0,0352","0,0843","0,0835","0,7195","0,0623","0,072","0,028","0,0968"
LPB,2020,"8,3844","0,013","0,0329","0,1194","0,1081","0,4384","0,0587","0,029","0,0322","0,102"
LPB,2021,"8,4612","0,0154","0,0368","0,12","0,1126","0,7116","0,0581","0,026","0,0183","0,1225"
MBB,2011,"8,1425","0,0189","0,0475","0,1742","0,0959","0,4174","0,0742","0,064","0,1868","0,3561"
MBB,2012,"8,2445","0,0179","0,047","0,1608","0,1115","0,4166","0,077","0,055","0,0909","0,2863"
MBB,2013,"8,2562","0,0206","0,0379","0,1587","0,11","0,4766","0,0871","0,056","0,0659","0,1957"
MBB,2014,"8,3021","0,0251","0,0378","0,1391","0,1007","0,4893","0,0855","0,064","0,0408","0,1954"
MBB,2015,"8,3445","0,0166","0,0383","0,1241","0,1285","0,54","0,1049","0,07","0,0063","0,1884"
MBB,2016,"8,4087","0,0138","0,0371","0,1009","0,125","0,5802","0,1038","0,067","0,0267","0,154"
MBB,2017,"8,4968","0,0117","0,0431","0,1026","0,12","0,58","0,0943","0,069","0,0352","0,2069"
MBB,2018,"8,5591","0,0152","0,0469","0,1095","0,109","0,5837","0,0943","0,072","0,0354","0,1599"
MBB,2019,"8,6144","0,013","0,051","0,1672","0,0923","0,6006","0,0969","0,072","0,028","0,1399"
MBB,2020,"8,6946","0,0148","0,0495","0,1793","0,1042","0,5938","0,1012","0,029","0,0322","0,1443"
MBB,2021,"8,7833","0,0247","0,0539","0,1529","0,1066","0,5844","0,1029","0,026","0,0183","0,1406"
MSB,2011,"8,0583","0,0097","0,0161","0,1462","0,1058","0,3269","0,0831","0,064","0,1868","0,0202"
MSB,2012,"8,0411","0,0266","0,021","0,0858","0,1131","0,2565","0,0827","0,055","0,0909","0,051"
MSB,2013,"8,0298","0,0275","0,0183","0,0245","0,1056","0,249","0,0879","0,056","0,0659","0,0164"
MSB,2014,"8,0186","0,0236","0,014","0,035","0,157","0,2201","0,0905","0,064","0,0408","0,0392"
MSB,2015,"8,0183","0,0219","0,0188","0,0124","0,1584","0,2635","0,1305","0,07","0,0063","0,037"
MSB,2016,"7,9666","0,013","0,0277","0,0085","0,1612","0,3743","0,1469","0,067","0,0267","0,0379"
MSB,2017,"8,0501","0,012","0,0195","0,0102","0,1948","0,3188","0,1223","0,069","0,0352","0,0491"
MSB,2018,"8,1392","0,0208","0,0289","0,0089","0,1217","0,3467","0,1003","0,072","0,0354","0,0348"
MSB,2019,"8,1958","0,0141","0,0255","0,0605","0,0975","0,3995","0,0947","0,072","0,028","0,0422"
MSB,2020,"8,2472","0,0107","0,0344","0,0658","0,1058","0,4442","0,0955","0,029","0,0322","0,0231"
MSB,2021,"8,3089","0,0169","0,0374","0,1034","0,1152","0,4904","0,1082","0,026","0,0183","0,1868"
NAB,2011,"7,2796","0,0085","0,0305","0,0506","0,2029","0,3253","0,1734","0,064","0,1868","0,2631"
NAB,2012,"7,2043","0,0103","0,0337","0,0731","0,2144","0,4234","0,2047","0,055","0,0909","0,2246"
NAB,2013,"7,4591","0,0067","0,0212","0,0553","0,1347","0,3993","0,1132","0,056","0,0659","0,2801"
NAB,2014,"7,5716","0,0094","0,0229","0,0409","0,1066","0,4418","0,0893","0,064","0,0408","0,4186"
NAB,2015,"7,5499","0,0094","0,0292","0,0555","0,1292","0,5828","0,0963","0,07","0,0063","0,2279"
NAB,2016,"7,632","0,0165","0,0335","0,0567","0,1118","0,5519","0,0801","0,067","0,0267","0,1049"
NAB,2017,"7,7359","0,0238","0,0273","0,0093","0,1263","0,6521","0,0674","0,069","0,0352","0,1186"
NAB,2018,"7,8754","0,0154","0,0285","0,0606","0,1115","0,6667","0,0564","0,072","0,0354","0,1764"
NAB,2019,"7,9763","0,0119","0,0281","0,1287","0,0862","0,705","0,0524","0,072","0,028","0,1682"
NAB,2020,"8,1281","0,0096","0,0252","0,1266","0,0928","0,6576","0,0491","0,029","0,0322","0,1298"
NAB,2021,"8,1854","0,0127","0,0326","0,1094","0,0946","0,6615","0,0524","0,026","0,0183","0,1568"
NVB,2011,"7,3521","0,0125","0,0417","0,0599","0,1718","0,567","0,143","0,064","0,1868","0,1949"
NVB,2012,"7,3342","0,0173","0,0423","0,0519","0,1909","0,5868","0,1476","0,055","0,0909","0,0862"
NVB,2013,"7,4635","0,0158","0,0304","0,0008","0,163","0,4563","0,1102","0,056","0,0659","0,2139"
NVB,2014,"7,5663","0,0119","0,023","0,0058","0,1083","0,4464","0,0872","0,064","0,0408","0,2096"
NVB,2015,"7,6833","0,0104","0,0228","0,0025","0,1108","0,4193","0,0667","0,07","0,0063","0,1767"
NVB,2016,"7,8389","0,0116","0,0202","0,002","0,1058","0,3632","0,0468","0,067","0,0267","0,1951"
NVB,2017,"7,8564","0,0113","0,0196","0,0034","0,0927","0,442","0,0448","0,069","0,0352","0,1727"
NVB,2018,"7,8599","0,0111","0,0168","0,0068","0,0941","0,4872","0,0446","0,072","0,0354","0,119"
NVB,2019,"7,9052","0,0114","0,0185","0,0096","0,0967","0,4662","0,0536","0,072","0,028","0,1996"
NVB,2020,"7,9523","0,0115","0,0216","0,0101","0,0944","0,4448","0,0476","0,029","0,0322","0,1563"
NVB,2021,"7,868","0,0169","0,0208","0,0003","0,0938","0,5546","0,0578","0,026","0,0183","0,0733"
OCB,2011,"7,4053","0,0128","0,047","0,0884","0,2488","0,5376","0,1475","0,064","0,1868","0,1788"
OCB,2012,"7,4381","0,0184","0,0522","0,08","0,2798","0,6172","0,1393","0,055","0,0909","0,1817"
OCB,2013,"7,5158","0,0103","0,0464","0,0591",0,"0,609","0,1209","0,056","0,0659","0,1485"
OCB,2014,"7,5921","0,0144","0,0327","0,0605",0,"0,5412","0,1028","0,064","0,0408","0,1478"
OCB,2015,"7,6941","0,0088","0,0328","0,0535","0,129","0,5552","0,0855","0,07","0,0063","0,1547"
OCB,2016,"7,8049","0,0087","0,0317","0,0469","0,111","0,5982","0,0739","0,067","0,0267","0,1273"
OCB,2017,"7,9258","0,0085","0,035","0,0713","0,116","0,5668","0,0728","0,069","0,0352","0,2071"
OCB,2018,"7,9998","0,0101","0,04","0,1094","0,12","0,5577","0,088","0,072","0,0354","0,1547"
OCB,2019,"8,0725","0,0103","0,04","0,1735","0,1119","0,5955","0,0974","0,072","0,028","0,1764"
OCB,2020,"8,1834","0,0106","0,0398","0,1784","0,1273","0,5789","0,1143","0,029","0,0322","0,1469"
OCB,2021,"8,266","0,0111","0,0374","0,1802","0,1234","0,5471","0,1182","0,026","0,0183","0,1726"
PGB,2011,"7,2451","0,0154","0,0645","0,0919","0,167","0,6784","0,1474","0,064","0,1868","0,2504"
PGB,2012,"7,2846","0,0236","0,0556","0,1543","0,226","0,6995","0,1659","0,055","0,0909","0,1563"
PGB,2013,"7,3958","0,0137","0,0265","0,075","0,191","0,5499","0,129","0,056","0,0659","0,2901"
PGB,2014,"7,4113","0,0121","0,028","0,0117","0,171","0,556","0,1295","0,064","0,0408","0,2656"
PGB,2015,"7,3924","0,0113","0,0281","0,039","0,214","0,6363","0,1366","0,07","0,0063","0,1472"
PGB,2016,"7,3949","0,0101","0,0305","0,0119","0,181","0,6993","0,1408","0,067","0,0267","0,0804"
PGB,2017,"7,4668","0,0108","0,032","0,0348","0,1489","0,7234","0,1215","0,069","0,0352","0,0902"
PGB,2018,"7,4757","0,0103","0,0325","0,0178","0,1455","0,73","0,1233","0,072","0,0354","0,0816"
PGB,2019,"7,4993","0,0109","0,0314","0,0341","0,1389","0,7424","0,1191","0,072","0,028","0,104"
PGB,2020,"7,5581","0,0089","0,0291","0,0194","0,1224","0,7039","0,1087","0,029","0,0322","0,1854"
PGB,2021,"7,6077","0,0089","0,0206","0,0418","0,1235","0,6726","0,1032","0,026","0,0183","0,2151"
