mack,nam,size,llp,nim,roe,car,lta,eta,gdp,inf,la
TCB,2011,"8,2509","0,0142","0,034","0,1928","0,114","0,3511","0,068","0,064","0,1868","0,298"
TCB,2012,"8,2503","0,0168","0,0308","0,2465","0,126","0,3773","0,0736","0,055","0,0909","0,2373"
TCB,2013,"8,1965","0,0172","0,0396","0,0743","0,1403","0,4394","0,0867","0,056","0,0659","0,1365"
TCB,2014,"8,2461","0,0199","0,0439","0,0392","0,1565","0,4503","0,0833","0,064","0,0408","0,1413"
TCB,2015,"8,2841","0,0139","0,0418","0,07","0,1474","0,5742","0,0815","0,07","0,0063","0,1184"
TCB,2016,"8,371","0,0127","0,0385","0,0615","0,131","0,6006","0,0783","0,067","0,0267","0,1495"
TCB,2017,"8,4287","0,0116","0,0416","0,1261","0,1268","0,5924","0,0931","0,069","0,0352","0,1624"
TCB,2018,"8,5033","0,0107","0,0446","0,1529","0,143","0,4945","0,1547","0,072","0,0354","0,1767"
TCB,2019,"8,5793","0,0074","0,0501","0,1492","0,155","0,6003","0,1527","0,072","0,028","0,174"
TCB,2020,"8,6431","0,0061","0,0584","0,1308","0,161","0,6263","0,1697","0,029","0,0322","0,1166"
TCB,2021,"8,7549","0,0109","0,009","0,1249","0,15","0,6042","0,1636","0,026","0,0183","0,1483"
TPB,2011,"7,3959","0,0168","0,0162","0,0664","0,18","0,1448","0,0672","0,064","0,1868","0,353"
TPB,2012,"7,1796","0,0155","0,0273","-0,5496","0,4015","0,3962","0,2195","0,055","0,0909","0,1746"
TPB,2013,"7,5063","0,0099","0,0262","0,0332","0,1981","0,368","0,1153","0,056","0,0659","0,2042"
TPB,2014,"7,7116","0,0101","0,0245","0,0961","0,1504","0,3815","0,0823","0,064","0,0408","0,3199"
TPB,2015,"7,8821","0,0094","0,025","0,1186","0,1213","0,3671","0,063","0,07","0,0063","0,2905"
TPB,2016,"8,0244","0,0089","0,0301","0,113","0,094","0,4371","0,0487","0,067","0,0267","0,2454"
TPB,2017,"8,0938","0,0108","0,0383","0,0956","0,09","0,5055","0,0538","0,069","0,0352","0,2105"
TPB,2018,"8,1341","0,0117","0,0435","0,1114","0,1024","0,5603","0,078","0,072","0,0354","0,1642"
TPB,2019,"8,216","0,0128","0,0475","0,1524","0,1069","0,5743","0,0795","0,072","0,028","0,1851"
TPB,2020,"8,3145","0,0161","0,0463","0,2075","0,1295","0,5724","0,0812","0,029","0,0322","0,1164"
TPB,2021,"8,4666","0,0127","0,0296","0,1643","0,1339","0,4763","0,0887","0,026","0,0183","0,2368"
VAB,2011,"7,3524","0,0166","0,0198","0,0764","0,09","0,5059","0,1588","0,064","0,1868","0,0657"
VAB,2012,"7,3911","0,0155","0,0235","0,0698",0,"0,5158","0,1436","0,055","0,0909","0,1497"
VAB,2013,"7,4319","0,0136","0,0161","0,0461",0,"0,5251","0,1327","0,056","0,0659","0,0903"
VAB,2014,"7,5513","0,0121","0,0346","0,0166",0,"0,4393","0,1022","0,064","0,0408","0,0302"
VAB,2015,"7,622","0,0114","0,0182","0,0126","0,191","0,4785","0,0936","0,07","0,0063","0,1319"
VAB,2016,"7,7886","0,0137","0,0199","0,0207","0,1577","0,4882","0,0654","0,067","0,0267","0,1985"
VAB,2017,"7,8091","0,0097","0,0179","0,0244","0,1024","0,5261","0,0639","0,069","0,0352","0,1997"
VAB,2018,"7,853","0,0105","0,0154","0,0237","0,1009","0,5263","0,0594","0,072","0,0354","0,2248"
VAB,2019,"7,8834","0,011","0,0183","0,0273",0,"0,5515","0,0581","0,072","0,028","0,1941"
VAB,2020,"7,9372","0,0119","0,0193","0,0408","0,0843","0,5525","0,0662","0,029","0,0322","0,2048"
VAB,2021,"8,0045","0,0112","0,0332","0,0549","0,0908","0,533","0,0631","0,026","0,0183","0,2534"
VPB,2011,"7,9181","0,0109","0,0332","0,0889","0,119","0,3486","0,0739","0,064","0,1868","0,3189"
VPB,2012,"8,011","0,0104","0,0371","0,1254","0,125","0,3561","0,0647","0,055","0,0909","0,2957"
VPB,2013,"8,0837","0,0117","0,0433","0,0896","0,125","0,4277","0,0637","0,056","0,0659","0,1949"
VPB,2014,"8,2128","0,0145","0,0437","0,1218","0,113","0,4733","0,055","0,064","0,0408","0,1423"
VPB,2015,"8,2875","0,0151","0,0641","0,1121","0,122","0,5935","0,0691","0,07","0,0063","0,1059"
VPB,2016,"8,3594","0,0147","0,0777","0,104","0,132","0,6233","0,0751","0,067","0,0267","0,0745"
VPB,2017,"8,4437","0,0175","0,0913","0,1679","0,146","0,6463","0,1069","0,069","0,0352","0,0469"
VPB,2018,"8,5096","0,0163","0,0938","0,1999","0,1116","0,6755","0,1075","0,072","0,0354","0,058"
VPB,2019,"8,5766","0,0161","0,0975","0,1912","0,1109","0,671","0,1119","0,072","0,028","0,0731"
VPB,2020,"8,6222","0,0157","0,1386","0,1739","0,117","0,6833","0,126","0,029","0,0322","0,0695"
VPB,2021,"8,7383","0,0286","0,0791","0,1498","0,143","0,631","0,1576","0,026","0,0183","0,1414"
VCB,2011,"8,5643","0,0261","0,0395","0,1709","0,1114","0,5565","0,0785","0,064","0,1868","0,3322"
VCB,2012,"8,6175","0,0224","0,0302","0,1197","0,1463","0,5691","0,1006","0,055","0,0909","0,2113"
VCB,2013,"8,6712","0,0241","0,0266","0,1051","0,1313","0,5711","0,0907","0,056","0,0659","0,2622"
VCB,2014,"8,7612","0,0223","0,0243","0,1018","0,1161","0,5482","0,0754","0,064","0,0408","0,3081"
VCB,2015,"8,8289","0,0227","0,0263","0,104","0,1104","0,5613","0,067","0,07","0,0063","0,2509"
VCB,2016,"8,8965","0,0179","0,0269","0,1143","0,1113","0,5745","0,061","0,067","0,0267","0,2327"
VCB,2017,"9,0151","0,0152","0,0265","0,1361","0,1163","0,5171","0,0508","0,069","0,0352","0,3354"
VCB,2018,"9,031","0,0166","0,0293","0,1588","0,1214","0,5787","0,0579","0,072","0,0354","0,2577"
VCB,2019,"9,0873","0,0144","0,0318","0,2044","0,0934","0,5924","0,0662","0,072","0,028","0,2452"
VCB,2020,"9,1226","0,0235","0,0303","0,2118","0,0956","0,6187","0,0709","0,029","0,0322","0,2399"
VCB,2021,"9,1507","0,0278","0,0328","0,1818","0,0931","0,6608","0,0771","0,026","0,0183","0,1904"
VIB,2011,"7,9865","0,0161","0,042","0,1072","0,1448","0,4416","0,0842","0,064","0,1868","0,3167"
VIB,2012,"7,8131","0,0172","0,0407","0,077","0,1914","0,5123","0,1299","0,055","0,0909","0,1542"
VIB,2013,"7,8858","0,027","0,0326","0,0634","0,1733","0,4464","0,1038","0,056","0,0659","0,1249"
VIB,2014,"7,9067","0,0238","0,0335","0,0061","0,1771","0,4623","0,1054","0,064","0,0408","0,1209"
VIB,2015,"7,9259","0,016","0,0319","0,0611","0,1804","0,5578","0,1021","0,07","0,0063","0,1009"
VIB,2016,"8,0192","0,0172","0,0306","0,0601","0,1325","0,5661","0,0836","0,067","0,0267","0,1342"
VIB,2017,"8,0905","0,012","0,0326","0,0641","0,1307","0,6408","0,0714","0,069","0,0352","0,1208"
VIB,2018,"8,1435","0,0092","0,039","0,1156","0,129","0,6845","0,0767","0,072","0,0354","0,0861"
VIB,2019,"8,2661","0,0101","0,0425","0,1821","0,0967","0,6932","0,0728","0,072","0,028","0,1312"
VIB,2020,"8,3886","0,0104","0,0455","0,208","0,1012","0,6857","0,0735","0,029","0,0322","0,1242"
VIB,2021,"8,4907","0,0121","0,0487","0,2197","0,1172","0,6433","0,0785","0,026","0,0183","0,1757"
